conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.8e+18,Sun Jun 02 15:30:18 +0000 2024,1461,Mari kita cek kepemilikan tanah &amp; bangunan para pejabat yg terlibat atau mempromosikan Tapera (Gen X): Komite: Sri Mulyani (LHKPN 2023) → 11 unit tanah &amp; bangunan | Total nilai Rp49 M | Total luas tanah/bangunan 2.768 m2 Basuki (2023) → 8 unit | Rp16 3 M | Total luas,1.8e+18,,,in,Indonesia,36,10,896,https://x.com/aricandra/status/1797289645375623208,66128026.0,aricandra
1.8e+18,Tue May 28 15:12:18 +0000 2024,2872,Asabri Jiwasraya Taspen Next... Tapera Koruptor demen bat yg beginian! https://t.co/pbGqy0M95F,1.8e+18,https://pbs.twimg.com/media/GOrNQ7Nb0AA-aPv.jpg,,in,Warteg,72,185,1712,https://x.com/BosPurwa/status/1795473177415397725,1.07e+18,BosPurwa
1.8e+18,Sat Jun 01 21:35:49 +0000 2024,524,@kompascom Kalo gotong royong royong yg jadi pejabat pengelola tapera seharusnta sukarela tak digaji betul atau tidak? https://t.co/mjbi1BW52n,1.8e+18,https://pbs.twimg.com/ext_tw_video_thumb/1797019169772453888/pu/img/UMMAkTJX0OLrZKWv.jpg,kompascom,in,"Planeta Rica, Colombia",21,70,202,https://x.com/5teV3n_Pe9eL/status/1797019246028792057,224431376.0,5teV3n_Pe9eL
1.8e+18,Wed May 29 00:18:48 +0000 2024,463,POV Karyawan menengah ketika gajian Tapera : Tabungan Pemeras Rakyat https://t.co/45d801Rtzt,1.8e+18,https://pbs.twimg.com/media/GOtKbD6bsAAJVMb.jpg,,in,"Kerajaan, Indonesia",13,25,219,https://x.com/KangManto123/status/1795610708455125128,9.48e+17,KangManto123
1.8e+18,Mon May 27 11:08:01 +0000 2024,1441, Tapera apa tu guys ? https://t.co/LziFazfyN4,1.8e+18,https://pbs.twimg.com/media/GOlL1Zta0AATd6Y.jpg,,in,Indonesia,168,324,38,https://x.com/tanyarlfes/status/1795049311916495350,1371650588.0,tanyarlfes
1.8e+18,Tue May 28 23:11:51 +0000 2024,16591, GUYS! Keluargaku udah punya rumah dari 10 tahun lalu tapi diperaturan TAPERA ini tuh JUGA HARUS IKUT?! Kayak ngga ada program berguna aja deh? Sender mau kuliah soalnya ngga ada niatan DEMO gitu kah guys? Pemerintah ngemisnya makin menjadi-jadi lho? https://t.co/SkwVOg4Njv,1.8e+18,https://pbs.twimg.com/media/GOs7GO1aYAAHYQn.jpg,,in,Indonesia,1280,1125,1899,https://x.com/tanyakanrl/status/1795593859600449863,1.33e+18,tanyakanrl
1.8e+18,Fri May 31 18:16:29 +0000 2024,433,Untuk apa Tapera Kalau udah punya rumah mobil dan aset tidak perlu apa Gak ada fungsi Tapera ini https://t.co/OaDDixgrv0,1.8e+18,https://pbs.twimg.com/ext_tw_video_thumb/1796606621218729984/pu/img/HxMrup_oLSevhKxj.jpg,,in,"Lisbon, Portugal",7,18,166,https://x.com/opposite6892/status/1796606693155143821,1.56e+18,opposite6892
1.8e+18,Sun Jun 02 04:38:26 +0000 2024,1652,Malming yang twtw aja Tapera Livin Selesai di doggy on sosmed besok senin https://t.co/rIbRcRaONL,1.8e+18,https://pbs.twimg.com/media/GPCsNN7bAAATIeH.jpg,,in,Cyber,1,115,57,https://x.com/prettykamila_/status/1797125597698920618,7.71e+17,prettykamila_
1.8e+18,Fri May 31 19:28:11 +0000 2024,2707,Taktik Gorong2 nyelinap ketika semua sibuk. . #UKT #RUUPenyiaran #RUUPolri #RUUTNI #Tapera #PutusanMA #hatihatikamumulaiberpikir https://t.co/O66ovoOxUU,1.8e+18,https://pbs.twimg.com/media/GO7jqyWagAAaMfu.jpg,,in,"Semarang, Indonesia",54,34,1292,https://x.com/gumpnhell/status/1796624737315201206,71466821.0,gumpnhell
1.8e+18,Sun Jun 02 01:55:29 +0000 2024,791,Saya tertarik dengan penjelasan bapak ini. Kita ulas satu-2 jawabannya. Agak panjang ulasannya. Pertanyaan pertama manfaat dari Tapera : Manfaat petama : katanya suku bunga Tapera lebih murah dari sukubunga KPR komersil bisa selisih 1 juta dengan asumsi ambil harga 300 juta https://t.co/dhkSj2053U,1.8e+18,https://pbs.twimg.com/ext_tw_video_thumb/1797069610577231872/pu/img/eirfVWcZGOaGsrTq.jpg,,in,"Planeta Rica, Colombia",53,287,370,https://x.com/5teV3n_Pe9eL/status/1797084590521335828,224431376.0,5teV3n_Pe9eL
