full_text,tweet_english,klasifikasi
kita cek milik tanah amp bangun jabat yg libat promosi tapera gen x komite sri mulyani lhkpn 2023 11 unit tanah amp bangun total nilai rp49 m total luas tanahbangunan 2768 m2 basuki 2023 8 unit rp16 3 m total luas,we check the ownership of the land & building positions involved in the promotion of Tapera Gen,Netral
asabri jiwasraya taspen next tapera koruptor demen bat yg begini,Asabri Jiwasraya Taspen Next Tapera Corruptors like this kind of bat,Positif
kalo gotong royong royong yg jadi jabat kelola tapera seharusnta sukarela tak gaji betul tidak,"If it's mutual cooperation, those in charge of managing Tapera should be volunteers without salaries, right?",Positif
pov karyawan tengah gaji tapera tabung peras rakyat,pov middle employee salary tapera tube squeeze people,Netral
tapera apa tu guys,"What is a tapera, guys?",Netral
guys keluarga udah punya rumah 10 tahun lalu atur tapera tuh harus ikut kayak ngga program guna aja deh sender mau kuliah soal ngga niat demo gitu guys perintah ngemisnya makin menjadijadi lho,"guys, the family has had a house for 10 years, then set up a tapera, you have to take part in the program, it's just for use, the sender wants to go to college, he doesn't intend to demonstrate like that, guys, the begging orders are getting worse, you know?",Negatif
apa tapera kalau udah punya rumah mobil aset perlu apa gak fungsi tapera,"What is Tapera if you already have a mobile home, what assets do you need or not?",Netral
malming twtw aja tapera livin selesai doggy on sosmed besok senin,"Just twtw, Tapera Livin will finish doggy on social media tomorrow, Monday",Positif
taktik gorong2 nyelinap semua sibuk,Everyone's busy with sneak tactics,Positif
tarik jelas bapak kita ulas satu2 jawab panjang ulas tanya pertama manfaat tapera manfaat petama kata suku bunga tapera lebih murah sukubunga kpr komersil selisih 1 juta asumsi ambil harga 300 juta,"interesting clearly, sir, let's review one by one, answer long, review first question, benefits of tapera, first benefit, tapera interest rates are cheaper, commercial mortgage interest rates, difference of 1 million, assuming a price of 300 million",Positif
bulan mei banyak kaget ruu siar ruu mk ruu polri ruu menteri negara eh tambah dengan bijak tapera putus ma batas usia calon kepala daerah dpr sama perintah kerja keras bagai kuda,"In May, many people were shocked by the draft bill, the MK bill on the National Police, the State Minister's bill, eh, add wisely the tapera broke up, the age limit for regional head candidates in the DPR was the same as the order to work hard like a horse",Positif
legowo aje gaji komite tapera capai 43 juta potong gaji umr mamam tuh lanjut,"Let's just say that the Tapera Committee's salary reaches 43 million, cutting Umr Mamam's salary, it continues",Negatif
tanggap kait tapera,Tapera hook response,Netral
nasib rumah murah jokowi kini tumbuh semak belukar saat sedang rame tapera,The fate of Jokowi's cheap house now grows bushes when Tapera is busy,Positif
